gov_level,dataset,pdf_source,fiscal_year,estimate_type,component,amount_crore,sector,demand_no,ministry,department,category,description
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1749.17,healthcare,42.0,Department of Health and Family Welfare,,,National AIDS and STD Control Programme
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1749.17,healthcare,42.0,Department of Health and Family Welfare,,,National AIDS and STD Control Programme
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1675.0,other,97.0,Department of Space,,,National Ganga Plan and Ghat Works
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1675.0,other,97.0,Department of Space,,,National Ganga Plan and Ghat Works
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1672.07,other,16.0,Department of Food and Public Distribution,,,Schemes for Development of Sugar Industries
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1650.47,education,80.0,Department of Higher Education,,,New Lines (Construction) - Dividend Free Projects
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1650.47,education,80.0,Department of Higher Education,,,New Lines (Construction) - Dividend Free Projects
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1595.65,education,4.0,Department of Agricultural Research and Education,,,Nuclear Fuel Inventory
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1595.65,education,4.0,Department of Agricultural Research and Education,,,Nuclear Fuel Inventory
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1580.64,education,74.0,Department of Higher Education,,,Integrated Power Development Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1542.38,other,56.0,Department of Public Enterprises,,,Non-residential
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1539.55,other,91.0,Department of Space,,,INSAT Satellite Systems
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1526.89,education,80.0,Department of Higher Education,,,522.  Workshop Including Production Units
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1526.89,education,80.0,Department of Higher Education,,,522.  Workshop Including Production Units
